Date,Close,Open,High,Low,Vol.,Change %
2001-11-29,4936.08,4897.96,4975.42,4874.23,-,0.41%
2001-11-28,4915.95,5031.15,5031.15,4915.15,-,-2.84%
2001-11-27,5059.57,5117.52,5147.83,4969.18,-,-1.07%
2001-11-26,5114.12,5159.81,5217.47,5106.06,-,-0.72%
2001-11-23,5150.97,5131.68,5160.19,5031.39,-,0.52%
2001-11-22,5124.54,5089.9,5143.62,5083.75,-,0.74%
2001-11-21,5087.03,5091.49,5151.99,5040.61,-,-0.18%
2001-11-20,5096.18,5187.19,5212.03,5016.92,-,-1.71%
2001-11-19,5185.1,5071.63,5193.66,5071.63,-,2.42%
2001-11-16,5062.64,5015.56,5114.4,4989.21,-,1.12%
2001-11-15,5006.33,4960.59,5073.25,4960.59,-,1.07%
2001-11-14,4953.53,4950.74,5047.19,4939.83,-,0.13%
2001-11-13,4946.97,4825.55,4970.03,4821.82,-,2.63%
2001-11-12,4820.37,4907.61,4910.12,4648.68,-,-1.83%
2001-11-09,4910.07,4990.81,4990.81,4886.31,-,-1.67%
2001-11-08,4993.57,4851.38,5005.95,4833.59,-,2.73%
2001-11-07,4860.66,4715.15,4862.85,4676.25,-,3.25%
2001-11-06,4707.65,4767.61,4819.9,4707.65,-,-1.00%
2001-11-05,4755.11,4588.69,4755.11,4588.69,-,3.75%
2001-11-02,4583.31,4641.36,4658.47,4568.64,-,-1.14%
2001-11-01,4636.13,4556.71,4637.18,4481.55,-,1.69%
2001-10-31,4559.13,4526.85,4626.02,4457.72,-,0.33%
2001-10-30,4543.98,4658.52,4658.52,4476.61,-,-2.50%
2001-10-29,4660.35,4812.6,4812.6,4659.75,-,-3.32%
2001-10-26,4820.26,4719.03,4820.26,4719.03,-,2.22%
2001-10-25,4715.6,4805.03,4874.31,4651.35,-,-2.00%
2001-10-24,4811.82,4689.04,4841.14,4652.25,-,2.29%
2001-10-23,4704.22,4629.49,4735.94,4629.49,-,1.84%
2001-10-22,4619.32,4518.36,4633.24,4480.16,-,2.34%
2001-10-19,4513.53,4580.68,4590.93,4445.64,-,-1.33%
2001-10-18,4574.37,4628.09,4628.09,4493.84,-,-1.52%
2001-10-17,4644.82,4634.1,4779.64,4609.94,-,0.40%
2001-10-16,4626.48,4542.28,4636.93,4510.75,-,1.71%
2001-10-15,4548.48,4619.59,4623.95,4496.59,-,-1.66%
2001-10-12,4625.13,4720.61,4724.73,4581.36,-,-1.98%
2001-10-11,4718.46,4627.72,4742.18,4616.68,-,2.28%
2001-10-10,4613.19,4471.63,4622.85,4421.96,-,3.15%
2001-10-09,4472.42,4488.47,4545.68,4436.54,-,-0.51%
